date,areaType,areaCode,areaName,newCasesBySpecimenDate
"2020-05-16",utla,S12000008,East Ayrshire,1
"2020-07-30",utla,N09000007,Lisburn and Castlereagh,0
"2020-07-29",utla,N09000007,Lisburn and Castlereagh,0
"2020-10-31",utla,E06000009,Blackpool,41
"2020-07-28",utla,N09000007,Lisburn and Castlereagh,0
"2020-07-22",utla,S12000039,West Dunbartonshire,0
"2020-07-21",utla,S12000039,West Dunbartonshire,0
"2020-07-20",utla,S12000039,West Dunbartonshire,0
"2020-03-03",utla,S12000014,Falkirk,0
"2020-03-02",utla,S12000014,Falkirk,0
"2020-07-08",utla,W06000014,Vale of Glamorgan,0
"2020-05-15",utla,S12000008,East Ayrshire,3
"2020-07-07",utla,W06000014,Vale of Glamorgan,1
"2020-07-26",utla,E06000040,Windsor and Maidenhead,0
"2020-03-01",utla,S12000014,Falkirk,0
"2020-08-11",utla,E08000003,Manchester,51
"2020-05-14",utla,S12000008,East Ayrshire,3
"2020-05-13",utla,S12000008,East Ayrshire,6
"2020-05-12",utla,S12000008,East Ayrshire,3
"2020-05-11",utla,S12000008,East Ayrshire,2
"2020-05-10",utla,S12000008,East Ayrshire,0
"2021-01-23",utla,E06000037,West Berkshire,43
"2020-10-27",utla,E10000017,Lancashire,720
"2021-01-22",utla,E06000037,West Berkshire,46
"2020-10-26",utla,E10000017,Lancashire,851
"2020-10-25",utla,E10000017,Lancashire,483
"2020-05-28",utla,S12000038,Renfrewshire,1
"2020-09-23",utla,N09000003,Belfast,77
"2020-07-27",utla,N09000007,Lisburn and Castlereagh,0
"2020-05-27",utla,S12000038,Renfrewshire,5
"2020-07-19",utla,S12000039,West Dunbartonshire,0
"2020-09-22",utla,N09000003,Belfast,46
"2020-07-18",utla,S12000039,West Dunbartonshire,0
"2020-07-26",utla,N09000007,Lisburn and Castlereagh,0
"2020-07-17",utla,S12000039,West Dunbartonshire,0
"2020-07-06",utla,W06000014,Vale of Glamorgan,2
"2020-07-25",utla,N09000007,Lisburn and Castlereagh,0
"2021-01-16",utla,E06000044,Portsmouth,144
"2020-07-16",utla,S12000039,West Dunbartonshire,0
"2020-07-05",utla,W06000014,Vale of Glamorgan,2
"2020-07-24",utla,N09000007,Lisburn and Castlereagh,0
"2021-01-15",utla,E06000044,Portsmouth,112
"2021-01-14",utla,E06000044,Portsmouth,150
"2020-05-13",utla,W06000023,Powys,4
"2020-10-30",utla,E06000009,Blackpool,65
"2020-05-12",utla,W06000023,Powys,5
"2021-01-13",utla,E06000044,Portsmouth,183
"2020-10-29",utla,E06000009,Blackpool,95
"2020-05-11",utla,W06000023,Powys,1
"2021-01-12",utla,E06000044,Portsmouth,197
"2020-10-28",utla,E06000009,Blackpool,61
"2020-05-09",utla,S12000008,East Ayrshire,2
"2020-05-10",utla,W06000023,Powys,8
"2021-01-11",utla,E06000044,Portsmouth,310
"2020-10-27",utla,E06000009,Blackpool,104
"2020-05-08",utla,S12000008,East Ayrshire,6
"2020-05-09",utla,W06000023,Powys,5
"2020-10-26",utla,E06000009,Blackpool,99
"2021-01-10",utla,E06000044,Portsmouth,147
"2020-05-08",utla,W06000023,Powys,6
"2020-05-07",utla,S12000008,East Ayrshire,4
"2020-10-25",utla,E06000009,Blackpool,60
"2021-01-09",utla,E06000044,Portsmouth,190
"2020-05-07",utla,W06000023,Powys,3
"2020-10-24",utla,E06000009,Blackpool,64
"2020-05-06",utla,W06000023,Powys,3
"2021-01-08",utla,E06000044,Portsmouth,176
"2020-10-23",utla,E06000009,Blackpool,103
"2020-05-06",utla,S12000008,East Ayrshire,12
"2020-05-05",utla,S12000008,East Ayrshire,7
"2020-10-22",utla,E06000009,Blackpool,91
"2020-03-09",utla,S12000027,Shetland Islands,4
"2020-10-21",utla,E06000009,Blackpool,120
"2020-03-08",utla,S12000027,Shetland Islands,0
"2020-10-20",utla,E06000009,Blackpool,135
"2020-10-19",utla,E06000009,Blackpool,131
"2020-10-18",utla,E06000009,Blackpool,53
"2021-01-07",utla,E06000044,Portsmouth,194
"2020-10-17",utla,E06000009,Blackpool,94
"2020-10-24",utla,E10000017,Lancashire,516
"2020-10-23",utla,E10000017,Lancashire,735
"2020-07-25",utla,E06000040,Windsor and Maidenhead,1
"2020-10-16",utla,E06000009,Blackpool,122
"2021-01-21",utla,E06000037,West Berkshire,64
"2020-07-24",utla,E06000040,Windsor and Maidenhead,1
"2020-10-15",utla,E06000009,Blackpool,78
"2021-01-20",utla,E06000037,West Berkshire,78
"2020-10-14",utla,E06000009,Blackpool,104
"2020-07-23",utla,E06000040,Windsor and Maidenhead,3
"2021-01-19",utla,E06000037,West Berkshire,66
"2021-01-18",utla,E06000037,West Berkshire,78
"2020-07-22",utla,E06000040,Windsor and Maidenhead,2
"2020-10-13",utla,E06000009,Blackpool,78
"2020-10-22",utla,E10000017,Lancashire,806
"2021-01-17",utla,E06000037,West Berkshire,47
"2021-01-16",utla,E06000037,West Berkshire,43
"2020-05-26",utla,S12000038,Renfrewshire,0
"2021-01-15",utla,E06000037,West Berkshire,63
"2021-01-06",utla,E06000044,Portsmouth,213
"2020-05-25",utla,S12000038,Renfrewshire,4
"2021-01-14",utla,E06000037,West Berkshire,56
"2021-01-05",utla,E06000044,Portsmouth,250
"2020-05-24",utla,S12000038,Renfrewshire,0
"2021-01-13",utla,E06000037,West Berkshire,75
"2020-10-12",utla,E06000009,Blackpool,83
"2020-08-10",utla,E08000003,Manchester,40
